Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
finance,i dont make enough money,health,im incurable sick,future,i dont know where to go,listening to music,listening / reading Jordan Peterson/Stephan molyneux,yoga
Money,Trying to earn enough money each month is getting harder and harder so I have to work a lot of side jobs.,Bills,It seems each week I get more and more bills in the mail.,My job.,My job is stressful because I have to work and deal with the public each day and it can be very tiring. ,"I just keep telling myself it's okay, everything will work out okay.",I try to spend a lot of time with my kids that always cheers me up.,I take a lot of walks its a good way to clear my mind.
Work,I work in retail and direct contact with rude costumers adds to my stress levels,health issues,I have some minor health problems which are annoying me and stressing me out,financial uncertainty,"I know for sure I'm gonna lose my job in a few months, and looking for a new one is stressfull",I try to get work off my back and do something I like as soon as I leave my workplace,I try to stay informed about my problems and I talk to my doctor,"There is actually nothing I can do to reduce this kind of stress, I just hope I'll find another job"
office,sitting before computer,work,"working in home(cooking,cleaning)",bad things around us,listening to bad things,take some nap in the middle,"trying to reduce the work by using machines(vaccum cleaner,washing  machine)",feel for it and come to normal state
mama,diagnosed with cancer,Money,Never have enough,House,Selling our house and looking for another,meditation,prayer,exercise
Money,Not making enough to achieve my goals,Relationship,That we could grow apart in the future,Family,Worrying about their wellbeing since I moved away from home,Change my focus,Determine what thoughts are rational,Do not react to irrational thoughts
no money,cant pay my bills and not being able to feed myself,not progressing in school,school taking forever to complete,car accident,was in a car accident a few months ago and paying financially still.,meditate,distract by playing video games,exercise 
Foods That Help Tame Stress, Keep calm by adding these to your diet.,Stress and Your Body, Beyond a pounding heart and a knotted stomach.,Ways to Avoid Stress,From time management to lifestyle changes.,Stress and Your Weight, How Stress Affects Your Body,How to Measure Your Stress
work,some times there will be more work to do than regular day job.,money,"if we are running on low money in wallet, feel more stressed",family,if some issues in family comes across mind like child's future ,take some tea,tries to find out some part time job,will think what we can do better for them
Commute,I drive almost 40 miles each way to work.,Home Improvements.,I am trying to get my house done so I can sell it.,Money,I am trying to pay back student loans and get my house done.,I am trying to get my house done and move closer to work.,I work on it a set schedule every day after work and on weekends.,I do side hustles and a little MTurking as much as I can to get extra money.
One of my daughters ,"She doesn't take care of her son, I have to raise him, but the stress isn't with raising him it's dealing with her and all of her foolishness ",Senseless killings ,"People are out here killing each other at a alarming rate, for no reason but pure evilness sa",Homelessness ,"Seeing homeless people sleeping on the streets, should not be in this country its sad",I pray continually ,I try to stay away from my daughter ,"Help however I  can, I donte and I even by food for them"
Work,I have too much to do with too little time.,Family,They expect too much from me sometimes.,Keeping the House Clean,"I feel that people know me as a very neat person, and it makes me have everything be spotless all the time.",I read books when I am stressed.,I watch the local sports teams on TV when I am stressed.,I spend time with my daughter when I am stressed.
Finding my place in the world,"As a man, building my life foundation and purpose is paramount",Money ,"Financial security is t everything, but gives you more options ",Temporarily dealing with bad situations in order to improve later,I have to sacrifice living on my own to pay off debt faster to own my home,Work out,Meditate,Write music
the survey level was very stress,yes,the survey level was very stress,yes,the survey was very stress,yes,the startegies of the survey,different stress of the survey,minimum level of the stress
Exames,"When I study for a test, I'm afraid of fail it so i get stressed",Money,Sometimes I do not have money enough,People,Sometimes is hard to deal with others,"The more I study, the more I feel comfortable",Spending less,Yoga
money problems,i am running out of money,drinking,i am drinking more than before,lonley,i am very lonly,try to get more money,try to drink less,go out more and meet more people
money,i don't make a lot,my relationship,i want to make sure it continues,a house,we live with my mom,taking deep breaths,smoking weed,forgetting about it
House,A house that us not clean.,Work,When the superintendents are complaining,Grocery store,When people are yapping in the aisles.,Clean the house,Walk away,Go around
Financial ,Unexpected expenses ,Health,"Multiple autoimmune diseases that flare, constantly",Relationships,An significant other who does not understand calling it quits.,Try to monthly write out all bills and keep an accurate record of whats needed and maintain an accurate balance. Also changed the way I shopped and went to bulk shopping or click list to ensure extra money is not spent there.,"Unfortunately, my health is always a high area of stress.  Therefore, I try to eat healthy, exercise at least 3 days a week and set realistic goals for strength training so that I can adequately see results so I do not become frustrated. Like each week adding another repetition to my exercises. Therefore, before you know it I'm doing something I could have never done before. ",I put my phone on silent every morning and only allow select numbers who can disturb me. I changed all my locks to feel more secure when I'm at home. I relax by watching television and making plans with my son.
work,at get stressed at work when people put all their work on me.,my wife at home.,when my wife does not understand me and fight with me.,Financial situation,My financial situation gives me stress.,i relax myself and leave after the given time from work.,i do as my wife says and it works out.,i try to save money on my spending.
Money,The lack of money or the need for more,Dr appointments,There are so many unnecessary appointment for my condition my primary care physician could take card of most disease management at this point in the disease progression,People,Many people are so wrapped up in their own stuff and never consider others or how there a tions impact otgers,Drugs,Drugs,Drugs
Working under dangerous conditions,projcect running time,Taking care of an elderly or sick family member,family memeber fever and various disease,Difficulty concentrating,not normal mind set,this time correct result produced,hospital ,releaxtion tv watch
job,i stress out thinking of  how i will meet the set deadlines and deliver effectively,home and work,whether i am able to balance between the time i give to my family and  work,holidays,what i will occupy myself with to get absolute fun with my son,i often talk to my superior inquiring about how he sees my performance,i make ensure that i am home when i should and at work right on time.,talk with my son on the activities he will enjoy to have. 
Working area stress,Doing old work interrupted by the new one.,Mobile app stress,Downloading app speed is not at the expected speed nor time.,Child care stress,When child disturbs in sleep mode.,Resuming by a break by taking a tea and start the new one with a fresh start.,Not exact strategy but to check for the app which are high rated in speed nor time.,Leaving the child to his father to be taken care of.
my health ,im currently very sick," my ""friend"" that lives with me",her boyfriend are useless,her boyfriend,both are totally useless living here,take long walks,play video games,go grocery shopping for long times
Work,We have had training the past 2 weeks and I stress over change,Money,Daughters birthday,Relationship,Arguing a lot,Remember it will get easier,Just push through it,Keep trying
Finances,We are on one income for the next year with the same expenses,Being a stay-at-home mom,Husband is deployed and I am alone raising our children,Worrying about husband,Worrying about his safety overseas,I have a budget that I stick to - I check our bank account daily and make sure to stick to budget plans,I exercise 3-4 days a week to release some stress (running),"I hire a sitter 1-2 a week to allow me to have ""mom time"" "
expectation,when i expect too much and the results come out not as expected,negative thinking,it gives lot of stress due to fear of negative outcome,financial shortage,when my budget did not met my requirements,never think of high result,work without thinking of outcomes,self contended of whatever i have
Money,Not having enough money ,Marital problems ,Sometimes marriages have their bumps in the road ,Kids being sick ,It stresses me out when my child is sick. ,Work harder,Seek therapy ,Take my kids to the doctor
Money,No job,Boyfriend,Never see him,Bipolar ,Bipolor ,Sleep,Friends,Smoke
Financial ,Not having the money to buy the things I need or my son .,Accusations,Constantly having to defend myself to false allegations,Failing as a mother ,Not being a good enough mother .,Relax ,Ignore him,Work harder
tired,when there is more work than usual i feel stress,journey,when i do long journey for whole day i feel like stress,sickness,if iam sick i feel stress,sleeping,listening music,playing with children
money,it is hard to make things run smoothly and be happy,trust,it feels like no one is left to trust,resources,there's not much water left where I live,strategic thinking,put emotions aside,plan ahead
sex,some pain comes at the time of sex,health,became got feaver,children,they have exams,meditation,medicine,tution
Financial problems.,I'm always worried about not making enough money to support my family.,Work.,Work duties make me feel overwhelmed sometimes. ,Adulthood.,I'm a young adult and sometimes I experiencing difficulty to meet normal operating expectations,I'm trying to cut useless expenses.,I try to spend more time with friends and family and not talk about work.,I try to practice self maintenance.
Workload,"Too much of it, especially if unmoderated or unbalanced",Balance/Lack thereof,"Not enough time to be with family and friends, especially due to work",My incompetence,I'm just a fool really. I make a lot of mistakes,Try to keep a decent focus on work and avoid overworking,Same as above,"Same as above, but also I try to learn from my mistakes "
Morning stress,Sending my son to school,Health issues,health problem of my family,Relatives,Relatives and my family make me more stress,listening music,sleeping,making art and craft
games,while losing,work,over load,relationship,annoying ,not playing,trying to get interest in work,hanging out with friends more
other people,I have ASD,work,I am a freelancer.,money,I always have to worry about being able to live through another month.,I avoid people,none,I try to work very hard at the beginning of every month so I have to worry less during the second half.
Work,"No good relationship between an administartion and workers,an administration never gives support, workers guilty always ",Tiredness,"When I don't sleep well or I'm sick, I feel stressfull",Family members too far from me,"When my family members feel bad, I worry too much because they have grave health problems",I search new work,I try to get rest when it possible and to sleep,"I try keep in touch and to know the situation, if it necessary I buy a flight ticket and go there"
Family,I still have to live with my abusive parents,Money,"I'm broke and have to pay a lot of bills, with little help from my family.",America,The new fascist government is giving me serious doubts as to how long my friends and I can survive.,I spend most of my time dissociated.,I read to escape reality.,I drink to escape reality.
Money issues,not enough money to get by,legal issues,husband has legal issues,children,worry about children,try to economize to ease the stress,dont dwell on it,tell myself that time will make everything better
Job,To much job in my work day,Can't sleep ,I can't sleep all time that I want,Money,I need more money to pay my bills,Talking with friends,Drinking alcohol,Touch myself
Tension,Thinking lot of things a a time ,overwork,Due to lot of overload work time in office extra hours ,personal problems,Not able to take decision and thinking of various problems comes to mind,Listening to music ,Yoga exercise meditation make stress level reduce,Having a long drive to favorite spot or sharing to personal soul mate
Moving house,"Just all of the different elements such as viewing, deposits, attorneys, packing, moving big furniture and timing it perfectly is very straining.",Debt,An ongoing problem where I need to ensure I have enough money to pay my debts and cover my basic living needs.,Work,Making sure I have the time to do the work I'm required to do and at a high enough quality.,"Planning, strategic scheduling and money saving",Budgeting,Time management and sleep to ensure I'm awake enough to work
financial,financial stress is the worse type of stress,family stress,family knows my weakness more then others,political,I am scared at the state of the world right now,exercise,reading ,mediaition
Confusion,I'm so stressed when there are too much people ,Ignorance,Because it's stressful for me to explain thing to an ignorant person,Technology,Too much technology destroys human relationship,Staying away from people and walking through nature,Avoiding certain type of people,Meeting my friends and go out for a walk 
Money,Making enough money to pay bills,Housing,Where I am going to stay,Health,Worrying about health related subjects,Try not to think about it,Ask for help from family,Try not to think about it
Better Job,Salary I get from my current employment is very inadequate,Construction of house,I live in a rented house and want to have own house.,Purpose of my life,I do not know what I am doing with my life,Looking for jobs. Studying about new things and giving interviews,Reducing my expenses and saving for own house,I don't have any strategy for this
Financial stress.,Stressed about how much money I make.,Anxiety stress.,Sometimes anxiety causes me to get stressed.,Sports.,"When my teams keep losing games, it causes stress.",Work harder to make more money.,Try to keep my mind off the anxiety.,Turn off the game when my team is losing.
work,if you have a hectic work life it will end up in a stress full life,travel,if u have to travel a lot to reach your office you will get drained out,lack of sleep,proper sleep is requied if not our daily activities will get delayed,workout,listening to music,sleep
Job,I work as a cashier at Walmart.,Family,Parents have high expectations of me.,Girlfriend,"I love my girlfriend, but she's extremely demanding.",Just get through it.,Ignore them.,Just keep her happy.
work,employees within work ,other car drivers ,people driving slow when on motorways ,deadlines ,when you have alot of work on and deadlines are coming up ,go for a run ,take 5/10 mins away from work ,go to the gym and lift weights 
Conflict,When my husband and I don't agree over something important,Health,I have a chronic health condition and it caused me a great deal of stress,Running late,"I am not good at getting out of the house quickly, so if I am late it bothers me",Talk to my husband and discuss the issue,This is a difficult one at this time.  I sleep a lot right now to escape the stress of the health issue,I try to leave 5 minutes earlier than necessary.  I get as ready as I can the night before
Toxic people,Such people disrupt my whole sense of being,PTSD,Recall memories haunt me,Disappointing God,I fear the consequences of disappointing God,Reevaluating my associations,Trying to reshift my thinking,Repentance and working harder to be more in tune with what God expects of me
Money,I struggle financially. ,Illness,I get frequent infections. ,Gossip ,People lie about me. ,Read Bible,Pray,Antibiotics 
Work,Going to work for no good reason,Marriage,Having a stressful marriage with lots of fighting,Depression,Suffering from depression,Achieving further training on the job,Seeking marriage counseling,Going to therapy
Work related issues,If I can't able to finish my work on time,too much work load,if have to handle lot of work ,Football matches,tight football matches when my fav team is playing ,Go for outing ,spend time with family ,watch tv
health issues,when a family member is sick or even oneself,money issues,when one lacks money and is in need of it,family issues,when you get into a fight with family members,eat healthy and avoid anything that may cause sickness,get a job,avoid fighting with family members
Job,My job causes stress because of it demands and deadlines.,Bills,Bills cause stress because sometimes money has to be stretched to make the bills on time.,Relationship,Causes stress because time has to be allocated to spend with you significant other when you cant.,I try to keep all my taks organized and efficent as possible.,I cut back on luxury expenses to accumilate a savings safety net.,I try to plan ahead of time around my work schedule to avoid conflict and dissapointment.
failure,"When something failed, lots of tensions arise.",problems,"when problems arise, it causes lots of stress",quarrel,"when we quarrel, it  causes lots of stress",Becoming spiritual and believe in myself,Find solutions to the problems,Discussion and solve the issues.
Mental health problems ,I have an anxiety disorder. It both makes me seriously stressed and makes me stress over keeping myself healthy and functioning ,Schoolwork,I'm currently in grad school. I have so many school projects that I have to keep juggling and coordinating. ,Money,"Relating to me being a grad student, I'm on a fixed income living in an expensive city",I'm on multiple medications to manage my anxiety disorder which helps keep me from exploding from stress. ,Keeping to a schedule and making sure I'm not trying to finish everything last minute helps a lot with not overloading with stress. ,Regular video game and DVD sessions with my friends let me blow off steam and socialize at the same time 
School,The amount of work and time I need to put in to do well.,Work,Being there and dealing with the people around me.,Sleep,Not being able to get to sleep some nights,Relax and trying to spend time by myself.,Watch a movie with my family,Exercise or play basketball at the park.
Work,Lots of work deadlines,Traffic,Lots of traffic lights and bad drivers.,Health,Getting older and having more issues,Relax at night with a film or read a book.,"Take back roads home, but it takes longer.",Exercise more each day.
money,never enough,children,worrying about them,racism ,to much of it,work hard,comunicate,educate 
No sleep,Not getting enough sleep due to demands,Work,My job has me working longer hours,Family,Struggling to provide because I've been out of work,Trying to nap.,Telling them I need to work more as I just came back from injury,Paying things a bit late
Talking on the phone with my brother sometimes stresses me out.,He can be belligerent sometimes which makes me feel like our relationship is strained. ,My financial situation stresses me out sometimes.,"Sometimes it feels like I am living paycheck to paycheck. I have plenty of money to pay all my bills, but sometimes it doesn't feel like I have enough to really get ahead.",I get stressed out a little bit when I don't get to spend time with my friends.,"I work two jobs (about 55-60 hours a week between the two). This makes it hard for me to spend time with my friends. When I get a text asking me if I want to hang out, I usually have to send the dreaded ""sorry I have to work tonight"" text.",I limit the total time we are on the phone as well as the number of controversial topics we discuss.,I take on more shifts at work to make sure I have plenty of money coming in.,I take advantage of the little bit of time that I do get to spend with my friends so I don't feel like such a jerk all the time.
work,No more time for all,payment,when i must go in a place for do a payment,home rent,pay the home rent,take my time ,pay with remote method,pay two stuff any time
money,I worry about not having enough money,A job,I worry about job security,Relationships,I worry about the healths of my relationships,be responsible with my spending habits,always ensure that I am working my best,always supporting and loving those in my life
Children,"I stay home and have to keep up with four young children all day every day, one of whom is an infant and one of whom is non verbal/autistic.",Husband,"Husband is gone most of the day, 6 or 7 days a week, so I have to try to get him to help me where I can and he tries but he's not always the most efficient.",Money,We survive on very little income. ,Go for walks when possible,"Have alcoholic drinks to cope, and coffee to keep me going",I try to sleep but I get about 4 hours a night right now
WORK,TARGET ISSUE,CHILD,HANDLED CHILD,DRIVING,TRAFFIC SIGNALS,FULLY INVOLVED WORK,UNDERSTANDING KIDS,TIME KEEPUP
HEAD PIAN,IT IS VERY AFFECTIVE,SOME FINANCIAL PROBLEMS,I HAVE TO REPAY THE LOAN,SOME TIMES JEALOSY,IT IS OUR HABIT,USE BALM,TO GET MORE MONEY,CHANGE THE HABIT
Financial issues,I constantly worry if I have invested money in the right financial instruments,Work related issues,There are many problems that I have to face while working (difficult clients etc.),Family pressures,Members of the family frequently make demands on my time and are displeased when I am  not able to meet their demands.,I reduce this stress by consulting my uncle who has more experience in dealing with financial instruments ,Try to cope with this stress by shutting off work related thoughts once I sign off for the day,I set apart one day every fortnight to spend some exclusive time with the family.
MY COLLEGE DAYS,I DON'T LIKE IT,MY WORK,MY BOSS SUCKS,MY BIKE,MAKE ME TO TAKE STRESS,FORGOT ABOUT THOSE DAYS,TO CONTROL OUR ANGRY,TO CHANGE MY BIKE
traffic,i hate to wait on the street,hard work,when work is hard i feel stressed,weather,i am methereopatic,leave home earlier,sleep,nothing
job loss,"heavy mortgage, and risk of finance",family,health of family member,war,risk of today world,saving,enjoy the moment,dont think about it
doing something out of routine,When trying something new or something not done as a routine,deadline,time pressure associated with tasks in meeting a deadline,accuracy ,stress induced by quality expectations and correctness,"prepare well in advance and mentally ready, take enough time","start activities well on time and plan activities, work backwards","try and improve every time and get feedback on, work on feedbacks"
Money,Lack of monetary stability,Children,Failing as a parent,Family/Friends,"As we get older, life takes things from us.",Social drinking with friends.,Complete Amazon Turk surveys.,Reading.
money,my financial situation causes me severe stress,job,my job as a nurse causes me stress,house,having to keep my house clean and nice is stressful,take medication,sleep,keep busy
Finances,Always trying to make the right amount of money for needs and depts.,Health and fitness,I obese and have been fighting to get my health and fitness back.,Safe and Functional Home,The house we bought is falling apart every day.,I work as much as I can handle and make certain I can see progress.,I take very long walks.,I go on dates with my husband.
Trump,Every time I see him on T.V. or hear his voice I want to puke.,Republicans,"I dislike those whose overarching greed is designed to bring harm to those less fortunate.  Oh, and supporting treason to gain power, nah, thinking about this is way, way beyond stressful.",The stock market,What goes up.....,Mute button,Support Democrats,Certificates of Deposit @ 2.75% for 12 months
Education,Keeping up with all the assignments at University,Work,Maintaining a Work-Life-Balance,Environmental Issues,"Global warming, Microplastic etc.",Plan ahead and don't procrastinate,Also plan ahead and don't try to accomplish everything at once,Read optimistic articles on environmental campagnes
Money,Having enoigh money to provide for kids and save for retirement,work,dealng with deadlines and people with egos,family,family arguments,Work on the most important finances first and try to earn additional income,Keep my head down and try to meet ll deadlines,I try to stay out of all family squabblesing on my own life.
Money,I'm always stressed about money and the financial burden on my boyfriend to pay more than me.,Family,I worry about my family and the drama that happens while I'm away because I live so far away from them.,My mental health,I deal with anxiety and depression and it causes a lot of stress when I feel like I can't control my emotions or thoughts.,I like to do short guided meditations.,Practicing mindfulness through exercises.,Talking with my boyfriend about what is stressing me out.
The death of a loved one,I everyday day to day life come with one person is death we cannot accept that.So that time stress occur in our mind.,Loss of a job,Most of the world depend upon our job.We can lost the job stress should increase.,Emotional problems,"Depression, anxiety, anger, grief, guilt, low self-esteem these problems increase stress also increase",Smile and laugh ,Get social support,Meditate
Exercise and health,I feel like i have a difficult time staying on a healthy regimin,Money,Worry about making ends meet ,Work,Sometimes i can feel overwhelmed with work projects,Make a point to get outdoor activity each day and have healthy food readily available,"Watch my spending, use a budget spreadsheet",Make a list of what needs to be done and start ticking them off one by one.
relationship breakup,feelings are so strong,money,concerned about finances,loneliness,fear of being alone,mental health services,careful management,enforced socialisation
